Formula label,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,IL_MW,Chol_MW,PEG_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,HL_(IL+HL),(IL+HL),Chol_DMG-PEG_ratio,PEG_(Chol+PEG),Size,Zeta,PDI,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,RLU_HepG2,RLU_N2a,RLU_ARPE19,RLU_HEK293,RLU_B16,RLU_PC3,Lipid_NA_ratio
27,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,20,500,0.199600798,1283.4,-1.361666667,0.621666667,1,0,0,0,0,0,2.674,4.19,4.828,7.769,2.079,0.693,81.08606889
28,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,40,500,0.199600798,281.9333333,-5.183333333,0.463333333,1,0,0,0,0,0,3.091,5.242,4.554,9.543,2.442,1.705,15.06799861
29,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,40,500,0.199600798,247.4666667,-2.506666667,0.442333333,1,0,0,0,0,0,1.872,4.779,4.956,10.136,1.705,1.253,30.13599722
30,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,40,500,0.199600798,230.4,-2.166666667,0.252,1,0,0,0,0,0,2.251,4.454,4.86,8.814,2.526,0.916,45.20399583
31,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,60,500,0.199600798,215.5666667,0.091,0.283333333,1,0,0,0,0,0,1.946,5.063,1.946,8.805,0.693,1.253,11.0811016
32,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,60,500,0.199600798,221.9666667,-0.125666667,0.240333333,1,0,0,0,0,0,2.251,4.883,2.485,9.334,1.253,1.253,22.16220321
33,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,60,500,0.199600798,234.9333333,0.407333333,0.281333333,1,0,0,0,0,0,3.584,5.198,1.609,9.443,1.705,1.099,33.24330481
34,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,80,500,0.199600798,172.3666667,-25.33333333,0.537333333,1,0,0,0,0,0,3.611,4.277,1.792,9.587,1.609,1.253,9.087653102
35,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,80,500,0.199600798,163.9833333,-6.63,0.436166667,1,0,0,0,0,0,2.803,5.204,1.946,10.442,1.253,0.916,18.1753062
36,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,80,500,0.199600798,247.1,-11.83333333,0.323,1,0,0,0,0,0,0.693,5.434,2.079,3.135,0.916,1.253,27.26295931
37,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,10,9.090909091,20,500,0.199600798,303.8,-4.81,0.320333333,1,0,0,0,0,0,1.099,5.242,4.127,7.14,1.946,1.099,29.27565509
38,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,10,9.090909091,20,500,0.199600798,462.6666667,-3.45,0.568333333,1,0,0,0,0,0,2.833,4.673,3.526,9.996,1.705,1.386,58.55131018
39,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,10,9.090909091,20,500,0.199600798,947.7666667,-0.677333333,0.293,1,0,0,0,0,0,3.199,3.97,3.045,9.706,1.872,1.386,87.82696527
40,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,10,9.090909091,40,500,0.199600798,242.8,1.363333333,0.251,1,0,0,0,0,0,2.773,5.366,2.485,9.851,1.946,1.386,16.37687066
41,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,10,9.090909091,40,500,0.199600798,182.1,-1.420666667,0.263,1,0,0,0,0,0,2.351,5.088,3.045,9.137,1.504,1.386,32.75374132
42,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,10,9.090909091,40,500,0.199600798,252.6333333,-2.366666667,0.273666667,1,0,0,0,0,0,2.674,5.182,2.303,8.643,1.099,0.693,49.13061198
43,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,10,9.090909091,60,500,0.199600798,242.8,-1.566666667,0.252666667,1,0,0,0,0,0,1.705,5.743,1.792,8.954,1.099,1.253,12.07727585
44,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,10,9.090909091,60,500,0.199600798,202.9666667,-2.063333333,0.257333333,1,0,0,0,0,0,3.839,6.073,1.386,10.867,1.253,1.099,24.1545517
45,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,10,9.090909091,60,500,0.199600798,142.2666667,-0.186,0.268333333,1,0,0,0,0,0,3.526,6.261,1.792,10.993,1.253,1.504,36.23182754
46,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,10,9.090909091,80,500,0.199600798,154.0833333,-22.66666667,0.3755,1,0,0,0,0,0,2.015,5.591,1.792,11.769,1.099,1.504,9.927478443
47,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,10,9.090909091,80,500,0.199600798,172.25,-0.437,0.288833333,1,0,0,0,0,0,3.258,5.849,1.609,11.956,1.099,1.099,19.85495689
48,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,10,9.090909091,80,500,0.199600798,175.9333333,-2.24,0.234333333,1,0,0,0,0,0,1.386,6.913,2.197,3.912,1.099,1.253,29.78243533
49,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,1,50,20,500,0.199600798,1859.333333,-19.73333333,0.579,1,0,0,0,0,0,1.253,1.946,0.693,4.543,1.099,1.099,54.55401653
50,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,1,50,20,500,0.199600798,487.5,-3.413333333,0.492333333,1,0,0,0,0,0,1.099,1.099,1.099,4.094,1.253,1.099,109.1080331
51,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,1,50,20,500,0.199600798,1049.966667,-2.423333333,0.215333333,1,0,0,0,0,0,1.504,1.792,2.079,3.367,1.253,1.386,163.6620496
52,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,1,50,40,500,0.199600798,370.2333333,-25.56666667,0.760333333,1,0,0,0,0,0,2.862,1.946,1.609,6.029,1.253,1.386,31.1016812
53,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,1,50,40,500,0.199600798,1164.833333,-15.7,0.693666667,1,0,0,0,0,0,0.916,1.609,1.386,4.6,0.916,1.504,62.2033624
54,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,1,50,40,500,0.199600798,1153.333333,-4.87,0.461,1,0,0,0,0,0,1.386,3.258,1.099,2.639,1.253,1.253,93.30504359
55,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,1,50,60,500,0.199600798,1720.666667,-28.26666667,0.716333333,1,0,0,0,0,0,0.916,1.792,1.609,3.367,1.504,0.405,23.28423609
56,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,1,50,60,500,0.199600798,214.1666667,-17.83333333,0.147333333,1,0,0,0,0,0,1.099,2.197,1.386,3.85,1.253,1.253,46.56847218
57,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,1,50,60,500,0.199600798,1034.266667,-5.81,0.683333333,1,0,0,0,0,0,1.253,1.386,1.099,3.861,1.253,0.916,69.85270826
58,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,1,50,80,500,0.199600798,476.1166667,-6.776666667,0.131333333,1,0,0,0,0,0,1.386,1.609,1.386,3.97,1.253,0.693,19.37551353
59,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,1,50,80,500,0.199600798,418.8333333,-5.44,0.151833333,1,0,0,0,0,0,0,0.693,1.386,4.06,1.099,1.253,38.75102707
60,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,1,50,80,500,0.199600798,268.4333333,-4.47,0.102,1,0,0,0,0,0,1.099,1.386,1.609,4.234,1.253,1.504,58.1265406
61,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,200,0.497512438,20,100,0.99009901,514.5666667,-1.836666667,0.964,1,0,0,0,0,0,2.14,5.677,5.242,9.118,3.178,0.916,27.41327923
62,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,200,0.497512438,20,100,0.99009901,209,-1.497333333,0.518,1,0,0,0,0,0,1.609,5.17,5.1,7.03,2.862,1.099,54.82655846
63,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,200,0.497512438,20,100,0.99009901,296.5333333,-1.007333333,0.349333333,1,0,0,0,0,0,2.303,3.951,3.761,8.172,1.705,0.916,82.23983768
64,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,200,0.497512438,40,100,0.99009901,75.20666667,-1.843333333,0.609333333,1,0,0,0,0,0,3.091,5.308,4.86,8.92,2.303,1.253,15.12479596
65,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,200,0.497512438,40,100,0.99009901,210.5666667,-0.593366667,0.548,1,0,0,0,0,0,4.234,3.178,5.347,9.759,2.89,1.253,30.24959192
66,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,200,0.497512438,40,100,0.99009901,184.1666667,-7.61,0.46,1,0,0,0,0,0,3.135,4.344,3.584,9.91,2.14,1.099,45.37438788
67,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,200,0.497512438,60,100,0.99009901,133.6666667,-4.72,0.504666667,1,0,0,0,0,0,4.167,5.313,2.89,9.788,2.251,1.253,11.02863487
68,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,200,0.497512438,60,100,0.99009901,145.6666667,-3.62,0.482666667,1,0,0,0,0,0,3.314,4.554,3.497,10.054,1.386,1.386,22.05726974
69,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,200,0.497512438,60,100,0.99009901,164.5333333,-4.233333333,0.325666667,1,0,0,0,0,0,3.57,5.278,1.792,11.208,1.253,1.099,33.08590461
70,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,200,0.497512438,80,100,0.99009901,415.6,-2,0.144666667,1,0,0,0,0,0,1.872,4.682,1.946,8.416,0.916,0.916,8.980554327
71,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,200,0.497512438,80,100,0.99009901,420.6,-2.613333333,0.213666667,1,0,0,0,0,0,2.485,3.497,1.609,10.519,1.253,0.916,17.96110865
72,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,200,0.497512438,80,100,0.99009901,725.6666667,-0.015666667,0.112,1,0,0,0,0,0,2.603,5.136,1.946,12.319,1.792,1.099,26.94166298
73,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,100,0.99009901,20,100,0.99009901,613.1333333,-2.063333333,0.699333333,1,0,0,0,0,0,1.946,5.908,5.338,8.725,2.996,0.405,27.557724
74,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,100,0.99009901,20,100,0.99009901,187.7333333,-1.543333333,0.447,1,0,0,0,0,0,1.705,5.13,5.05,7.148,3.418,1.386,55.115448
75,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,100,0.99009901,20,100,0.99009901,99.15666667,-1.906666667,0.669666667,1,0,0,0,0,0,1.946,4.443,3.689,8.766,1.705,1.705,82.673172
76,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,100,0.99009901,40,100,0.99009901,118.2,-1.441,0.441,1,0,0,0,0,0,2.97,5.407,4.673,9.07,1.705,1.099,15.208104
77,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,100,0.99009901,40,100,0.99009901,170.9666667,-1.497333333,0.641666667,1,0,0,0,0,0,3.114,4.625,3.434,9.798,2.674,1.386,30.416208
78,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,100,0.99009901,40,100,0.99009901,215.6333333,-4.113333333,0.624,1,0,0,0,0,0,3.114,4.654,3.584,10.032,1.792,1.099,45.624312
79,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,100,0.99009901,60,100,0.99009901,182.2,-3.46,0.565,1,0,0,0,0,0,2.708,4.575,1.609,10.357,1.609,0.916,11.091564
80,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,100,0.99009901,60,100,0.99009901,207.7333333,-5.52,0.412333333,1,0,0,0,0,0,2.639,4.736,2.89,10.134,1.946,0.916,22.183128
81,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,100,0.99009901,60,100,0.99009901,348.7,-2.886666667,0.722666667,1,0,0,0,0,0,3.45,5.13,1.946,11.444,1.705,1.705,33.274692
82,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,100,0.99009901,80,100,0.99009901,379.2666667,-2.153333333,0.080666667,1,0,0,0,0,0,1.609,5.056,1.609,8.579,1.386,1.099,9.033294
83,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,100,0.99009901,80,100,0.99009901,430.7333333,-1.356666667,0.114666667,1,0,0,0,0,0,1.872,4.205,1.386,6.127,1.253,1.099,18.066588
84,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,100,0.99009901,80,100,0.99009901,255.0166667,0.867666667,0.3485,1,0,0,0,0,0,2.996,5.165,1.792,12.586,0.916,0.693,27.099882
85,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,20,100,0.99009901,738.2666667,-1.916666667,0.887666667,1,0,0,0,0,0,1.705,6.014,5.056,8.454,3.135,1.253,27.84661354
86,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,20,100,0.99009901,190.2,-0.810333333,0.453,1,0,0,0,0,0,1.946,5.198,5.394,7.951,2.197,1.386,55.69322709
87,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,20,100,0.99009901,210.8,-2.876666667,0.686333333,1,0,0,0,0,0,1.253,4.511,3.892,8.79,1.946,1.253,83.53984063
88,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,40,100,0.99009901,263.4666667,-2.14,0.627666667,1,0,0,0,0,0,1.946,5.714,5.62,9.014,1.872,1.609,15.37472008
89,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,40,100,0.99009901,162,-0.342,0.536333333,1,0,0,0,0,0,1.705,5.17,5.03,9.952,2.14,0.693,30.74944016
90,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,40,100,0.99009901,203.3333333,-2.2,0.343333333,1,0,0,0,0,0,1.705,4.927,3.258,10.517,2.603,1.099,46.12416024
91,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,60,100,0.99009901,194,-3.503333333,0.484333333,1,0,0,0,0,0,3.512,4.883,3.258,10.551,1.609,1.099,11.21742226
92,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,60,100,0.99009901,235.7333333,-2.013333333,0.341333333,1,0,0,0,0,0,2.398,5.236,3.219,11.074,1.386,0.916,22.43484451
93,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,60,100,0.99009901,183.1666667,-3.336666667,0.295666667,1,0,0,0,0,0,2.079,5.075,2.708,11.66,1.504,1.386,33.65226677
94,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,50,1.960784314,80,100,0.99009901,264.4666667,-6.496666667,0.139,1,0,0,0,0,0,3.541,5.576,2.197,10.835,1.504,0.916,9.138773347
95,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,50,1.960784314,80,100,0.99009901,410.2,0.9383,0.146666667,1,0,0,0,0,0,2.079,4.86,2.079,11.636,0.916,0.916,18.27754669
96,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,50,1.960784314,80,100,0.99009901,363.8,0.4627,0.148333333,1,0,0,0,0,0,1.946,5.165,1.792,12.662,1.099,1.099,27.41632004
97,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,10,9.090909091,20,100,0.99009901,457.7666667,-20.96666667,0.88,1,0,0,0,0,0,2.351,5.136,4.205,5.745,2.079,2.079,30.1577299
98,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,8,10,9.090909091,20,100,0.99009901,170.4666667,-1.013333333,0.436333333,1,0,0,0,0,0,1.792,3.738,3.829,8.332,3.497,1.872,60.3154598
99,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,12,10,9.090909091,20,100,0.99009901,205.1333333,-0.812553333,0.81,1,0,0,0,0,0,2.015,3.466,4.205,8.183,3.239,1.872,90.4731897
100,Dlin-MC3-DMA,18PG,0,1,8.8188,151.65,3,10,36,1,796.5,642.09,386.654,2500,4,10,9.090909091,40,100,0.99009901,153.8666667,-1.636666667,0.343666667,1,0,0,0,0,0,2.351,5.389,4.159,8.525,3.091,1.946,16.70764871
