,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
375,376,DOTAP,1,0,12.515,0,4,36,2,4,100,40,500,185.6666667,12.1,5.557
376,377,DOTAP,1,0,12.515,0,4,36,2,8,100,40,500,160.6,4.013333333,5.464
377,378,DOTAP,1,0,12.515,0,4,36,2,12,100,40,500,183.8333333,2.956666667,6.014
378,379,DOTAP,1,0,12.515,0,4,36,2,4,100,60,500,224.0,22.76666667,4.5
379,380,DOTAP,1,0,12.515,0,4,36,2,8,100,60,500,147.6666667,9.33,5.273
380,381,DOTAP,1,0,12.515,0,4,36,2,12,100,60,500,146.4333333,19.53333333,5.67
381,382,DOTAP,1,0,12.515,0,4,36,2,4,100,80,500,170.8666667,7.633333333,3.892
382,383,DOTAP,1,0,12.515,0,4,36,2,8,100,80,500,136.8333333,7.98,3.555
383,384,DOTAP,1,0,12.515,0,4,36,2,12,100,80,500,290.3,-25.13333333,4.984
384,385,DOTAP,1,0,12.515,0,4,36,2,4,50,20,500,122.2,18.9,5.521
386,387,DOTAP,1,0,12.515,0,4,36,2,12,50,20,500,186.9666667,2.883333333,5.886
387,388,DOTAP,1,0,12.515,0,4,36,2,4,50,40,500,153.4666667,17.63333333,5.328
388,389,DOTAP,1,0,12.515,0,4,36,2,8,50,40,500,204.5333333,0.663333333,5.714
389,390,DOTAP,1,0,12.515,0,4,36,2,12,50,40,500,177.8333333,3.57,5.513
390,391,DOTAP,1,0,12.515,0,4,36,2,4,50,60,500,193.0,24.03333333,4.419
391,392,DOTAP,1,0,12.515,0,4,36,2,8,50,60,500,155.2333333,9.956666667,5.242
392,393,DOTAP,1,0,12.515,0,4,36,2,12,50,60,500,133.8333333,18.63333333,5.1
393,394,DOTAP,1,0,12.515,0,4,36,2,4,50,80,500,204.0333333,6.13,3.871
394,395,DOTAP,1,0,12.515,0,4,36,2,8,50,80,500,118.1,9.33,3.135
396,397,DOTAP,1,0,12.515,0,4,36,2,4,10,20,500,105.7,44.06666667,5.598
397,398,DOTAP,1,0,12.515,0,4,36,2,8,10,20,500,131.2333333,25.86666667,5.591
399,400,DOTAP,1,0,12.515,0,4,36,2,4,10,40,500,204.4333333,26.16666667,5.561
400,401,DOTAP,1,0,12.515,0,4,36,2,8,10,40,500,135.9,27.06666667,5.553
401,402,DOTAP,1,0,12.515,0,4,36,2,12,10,40,500,199.2666667,22.36666667,5.852
402,403,DOTAP,1,0,12.515,0,4,36,2,4,10,60,500,157.6333333,30.7,6.014
403,404,DOTAP,1,0,12.515,0,4,36,2,8,10,60,500,133.6333333,15.33333333,5.986
404,405,DOTAP,1,0,12.515,0,4,36,2,12,10,60,500,139.3666667,20.86666667,7.55
405,406,DOTAP,1,0,12.515,0,4,36,2,4,10,80,500,138.7666667,15.56666667,6.726
406,407,DOTAP,1,0,12.515,0,4,36,2,8,10,80,500,143.8333333,18.4,6.632
408,409,DOTAP,1,0,12.515,0,4,36,2,4,1,20,500,137.3,19.9,8.143
409,410,DOTAP,1,0,12.515,0,4,36,2,8,1,20,500,899.4,16.3,7.81
410,411,DOTAP,1,0,12.515,0,4,36,2,12,1,20,500,158.2333333,12.23333333,7.274
411,412,DOTAP,1,0,12.515,0,4,36,2,4,1,40,500,214.0333333,5.41,10.391
412,413,DOTAP,1,0,12.515,0,4,36,2,8,1,40,500,173.5,22.13333333,8.141
414,415,DOTAP,1,0,12.515,0,4,36,2,4,1,60,500,218.4,22.4,10.373
415,416,DOTAP,1,0,12.515,0,4,36,2,8,1,60,500,152.1333333,23.5,9.74
416,417,DOTAP,1,0,12.515,0,4,36,2,12,1,60,500,101.8666667,21.46666667,7.168
417,418,DOTAP,1,0,12.515,0,4,36,2,4,1,80,500,200.6,12.93333333,8.678
418,419,DOTAP,1,0,12.515,0,4,36,2,8,1,80,500,133.7333333,31.5,9.084
420,421,DOTAP,1,0,12.515,0,4,36,2,4,200,20,100,2056.666667,-27.6,4.19
421,422,DOTAP,1,0,12.515,0,4,36,2,8,200,20,100,576.1666667,-2.563333333,4.331
422,423,DOTAP,1,0,12.515,0,4,36,2,12,200,20,100,453.7333333,1.926666667,2.639
423,424,DOTAP,1,0,12.515,0,4,36,2,4,200,40,100,157.1,-3.873333333,2.89
425,426,DOTAP,1,0,12.515,0,4,36,2,12,200,40,100,154.0333333,-2.93,4.779
426,427,DOTAP,1,0,12.515,0,4,36,2,4,200,60,100,187.9,-3.706666667,3.332
427,428,DOTAP,1,0,12.515,0,4,36,2,8,200,60,100,151.0666667,-1.271,4.977
428,429,DOTAP,1,0,12.515,0,4,36,2,12,200,60,100,165.1666667,4.56,4.796
429,430,DOTAP,1,0,12.515,0,4,36,2,4,200,80,100,152.2,1.253333333,2.398
430,431,DOTAP,1,0,12.515,0,4,36,2,8,200,80,100,143.4666667,4.306666667,3.85
431,432,DOTAP,1,0,12.515,0,4,36,2,12,200,80,100,119.9666667,3.433333333,3.611
433,434,DOTAP,1,0,12.515,0,4,36,2,8,100,20,100,115.6666667,3.27,3.296
434,435,DOTAP,1,0,12.515,0,4,36,2,12,100,20,100,388.5666667,-0.77,3.0
435,436,DOTAP,1,0,12.515,0,4,36,2,4,100,40,100,176.5,-3.76,3.0
436,437,DOTAP,1,0,12.515,0,4,36,2,8,100,40,100,214.0333333,-3.076666667,5.293
437,438,DOTAP,1,0,12.515,0,4,36,2,12,100,40,100,199.2,-2.876666667,5.011
438,439,DOTAP,1,0,12.515,0,4,36,2,4,100,60,100,182.5333333,-2.633333333,4.431
439,440,DOTAP,1,0,12.515,0,4,36,2,8,100,60,100,155.6333333,-2.463333333,3.0
440,441,DOTAP,1,0,12.515,0,4,36,2,12,100,60,100,181.7,2.173333333,4.248
441,442,DOTAP,1,0,12.515,0,4,36,2,4,100,80,100,175.7,-1.211333333,3.0
442,443,DOTAP,1,0,12.515,0,4,36,2,8,100,80,100,162.9666667,2.933333333,3.401
443,444,DOTAP,1,0,12.515,0,4,36,2,12,100,80,100,128.4666667,3.573333333,2.303
445,446,DOTAP,1,0,12.515,0,4,36,2,8,50,20,100,139.2,1.826666667,4.394
447,448,DOTAP,1,0,12.515,0,4,36,2,4,50,40,100,162.2333333,-3.646666667,5.398
448,449,DOTAP,1,0,12.515,0,4,36,2,8,50,40,100,223.1333333,-2.73,5.638
450,451,DOTAP,1,0,12.515,0,4,36,2,4,50,60,100,207.0333333,-5.89,4.99
451,452,DOTAP,1,0,12.515,0,4,36,2,8,50,60,100,154.4666667,-0.982333333,5.236
452,453,DOTAP,1,0,12.515,0,4,36,2,12,50,60,100,170.7333333,3.386666667,4.654
453,454,DOTAP,1,0,12.515,0,4,36,2,4,50,80,100,149.4333333,2.24,2.996
454,455,DOTAP,1,0,12.515,0,4,36,2,8,50,80,100,171.1333333,1.28,3.091
455,456,DOTAP,1,0,12.515,0,4,36,2,12,50,80,100,163.5333333,2.923333333,3.296
460,461,DOTAP,1,0,12.515,0,4,36,2,8,10,40,100,146.1333333,-2.403333333,7.005
461,462,DOTAP,1,0,12.515,0,4,36,2,12,10,40,100,231.5,-2.746666667,5.638
462,463,DOTAP,1,0,12.515,0,4,36,2,4,10,60,100,161.8333333,-1.385333333,6.288
463,464,DOTAP,1,0,12.515,0,4,36,2,8,10,60,100,137.9,-0.514,6.845
464,465,DOTAP,1,0,12.515,0,4,36,2,12,10,60,100,150.0,2.373333333,5.231
465,466,DOTAP,1,0,12.515,0,4,36,2,4,10,80,100,169.0,-0.684,5.727
466,467,DOTAP,1,0,12.515,0,4,36,2,8,10,80,100,125.6,2.273333333,6.144
467,468,DOTAP,1,0,12.515,0,4,36,2,12,10,80,100,136.8666667,4.91,3.638
469,470,DOTAP,1,0,12.515,0,4,36,2,8,1,20,100,130.5333333,4.226666667,4.575
471,472,DOTAP,1,0,12.515,0,4,36,2,4,1,40,100,161.9,-3.153333333,9.966
473,474,DOTAP,1,0,12.515,0,4,36,2,12,1,40,100,354.4666667,-1.543333333,6.542
474,475,DOTAP,1,0,12.515,0,4,36,2,4,1,60,100,202.1,-2.55,10.418
475,476,DOTAP,1,0,12.515,0,4,36,2,8,1,60,100,139.7,0.63,6.495
476,477,DOTAP,1,0,12.515,0,4,36,2,12,1,60,100,122.8,6.336666667,6.717
477,478,DOTAP,1,0,12.515,0,4,36,2,4,1,80,100,152.7666667,6.34,9.422
478,479,DOTAP,1,0,12.515,0,4,36,2,8,1,80,100,134.0,12.86666667,4.86
479,480,DOTAP,1,0,12.515,0,4,36,2,12,1,80,100,194.4666667,6.843333333,5.951
481,482,DOTAP,1,0,12.515,0,4,36,2,8,200,20,10,151.5333333,-2.966666667,2.197
483,484,DOTAP,1,0,12.515,0,4,36,2,4,200,40,10,99.71,-1.186666667,3.466
484,485,DOTAP,1,0,12.515,0,4,36,2,8,200,40,10,247.2666667,-3.813333333,3.219
487,488,DOTAP,1,0,12.515,0,4,36,2,8,200,60,10,297.0,-9.57,4.234
488,489,DOTAP,1,0,12.515,0,4,36,2,12,200,60,10,134.1333333,-1.092,5.124
489,490,DOTAP,1,0,12.515,0,4,36,2,4,200,80,10,165.4666667,-1.492333333,2.944
490,491,DOTAP,1,0,12.515,0,4,36,2,8,200,80,10,110.9666667,-1.123,3.178
491,492,DOTAP,1,0,12.515,0,4,36,2,12,200,80,10,128.5333333,-0.810666667,5.153
495,496,DOTAP,1,0,12.515,0,4,36,2,4,100,40,10,116.2666667,-1.833333333,3.332
496,497,DOTAP,1,0,12.515,0,4,36,2,8,100,40,10,285.1333333,-6.416666667,2.639
499,500,DOTAP,1,0,12.515,0,4,36,2,8,100,60,10,293.6333333,-9.726666667,4.007
500,501,DOTAP,1,0,12.515,0,4,36,2,12,100,60,10,162.9333333,-1.077,4.635
501,502,DOTAP,1,0,12.515,0,4,36,2,4,100,80,10,170.3,-2.533333333,3.526
502,503,DOTAP,1,0,12.515,0,4,36,2,8,100,80,10,136.5,-0.168,3.584
503,504,DOTAP,1,0,12.515,0,4,36,2,12,100,80,10,108.9333333,-0.043,5.176
507,508,DOTAP,1,0,12.515,0,4,36,2,4,50,40,10,133.4,-0.863666667,3.466
508,509,DOTAP,1,0,12.515,0,4,36,2,8,50,40,10,282.5,-7.106666667,3.466
510,511,DOTAP,1,0,12.515,0,4,36,2,4,50,60,10,4622.333333,-22.2,3.664
511,512,DOTAP,1,0,12.515,0,4,36,2,8,50,60,10,296.5666667,-14.66666667,4.644
512,513,DOTAP,1,0,12.515,0,4,36,2,12,50,60,10,138.1666667,-1.203333333,5.964
513,514,DOTAP,1,0,12.515,0,4,36,2,4,50,80,10,159.1333333,-2.56,4.29
514,515,DOTAP,1,0,12.515,0,4,36,2,8,50,80,10,117.1333333,-0.0463,3.466
515,516,DOTAP,1,0,12.515,0,4,36,2,12,50,80,10,118.5666667,-0.131666667,5.38
516,517,DOTAP,1,0,12.515,0,4,36,2,4,10,20,10,122.3666667,-1.79,2.639
519,520,DOTAP,1,0,12.515,0,4,36,2,4,10,40,10,119.1333333,-0.88,4.394
520,521,DOTAP,1,0,12.515,0,4,36,2,8,10,40,10,393.5333333,-13.16666667,5.242
523,524,DOTAP,1,0,12.515,0,4,36,2,8,10,60,10,309.2,-9.383333333,5.273
524,525,DOTAP,1,0,12.515,0,4,36,2,12,10,60,10,135.1,-1.427,4.913
525,526,DOTAP,1,0,12.515,0,4,36,2,4,10,80,10,178.8,-2.843333333,3.951
526,527,DOTAP,1,0,12.515,0,4,36,2,8,10,80,10,114.0333333,0.044333333,4.595
527,528,DOTAP,1,0,12.515,0,4,36,2,12,10,80,10,99.51,-0.3501,5.684
528,529,DOTAP,1,0,12.515,0,4,36,2,4,1,20,10,142.0666667,-2.13,7.878
529,530,DOTAP,1,0,12.515,0,4,36,2,8,1,20,10,155.0333333,-0.929,6.004
530,531,DOTAP,1,0,12.515,0,4,36,2,12,1,20,10,123.6666667,-0.883333333,4.787
531,532,DOTAP,1,0,12.515,0,4,36,2,4,1,40,10,108.2666667,-1.0292,9.21
532,533,DOTAP,1,0,12.515,0,4,36,2,8,1,40,10,247.7,-6.423333333,9.339
536,537,DOTAP,1,0,12.515,0,4,36,2,12,1,60,10,117.0333333,-1.237,7.054
537,538,DOTAP,1,0,12.515,0,4,36,2,4,1,80,10,137.2333333,-0.065666667,6.452
538,539,DOTAP,1,0,12.515,0,4,36,2,8,1,80,10,104.4666667,2.526666667,7.391
539,540,DOTAP,1,0,12.515,0,4,36,2,12,1,80,10,99.66666667,1.341666667,6.306
540,541,DSPC,1,1,6.12,0,8,36,0,4,200,20,500,445.6,-20.0,6.196
541,542,DSPC,1,1,6.12,0,8,36,0,8,200,20,500,388.5666667,-2.833333333,5.759
542,543,DSPC,1,1,6.12,0,8,36,0,12,200,20,500,168.4666667,-0.537666667,5.384
543,544,DSPC,1,1,6.12,0,8,36,0,4,200,40,500,206.4666667,-0.144176667,5.242
544,545,DSPC,1,1,6.12,0,8,36,0,8,200,40,500,266.9333333,-1.186333333,5.204
545,546,DSPC,1,1,6.12,0,8,36,0,12,200,40,500,295.5333333,-1.356666667,5.38
546,547,DSPC,1,1,6.12,0,8,36,0,4,200,60,500,213.1,-2.03,4.963
547,548,DSPC,1,1,6.12,0,8,36,0,8,200,60,500,226.5333333,0.105433333,4.431
548,549,DSPC,1,1,6.12,0,8,36,0,12,200,60,500,191.9333333,0.3688,4.357
549,550,DSPC,1,1,6.12,0,8,36,0,4,200,80,500,204.2,-2.123333333,4.868
550,551,DSPC,1,1,6.12,0,8,36,0,8,200,80,500,153.2,1.007666667,3.219
551,552,DSPC,1,1,6.12,0,8,36,0,12,200,80,500,145.8666667,-0.358366667,3.296
552,553,DSPC,1,1,6.12,0,8,36,0,4,100,20,500,380.3333333,-7.156666667,6.37
553,554,DSPC,1,1,6.12,0,8,36,0,8,100,20,500,300.7,-7.346666667,5.737
554,555,DSPC,1,1,6.12,0,8,36,0,12,100,20,500,323.3666667,-1.173666667,5.565
555,556,DSPC,1,1,6.12,0,8,36,0,4,100,40,500,197.5333333,-0.223666667,4.804
558,559,DSPC,1,1,6.12,0,8,36,0,4,100,60,500,236.7333333,1.45,4.754
559,560,DSPC,1,1,6.12,0,8,36,0,8,100,60,500,169.5666667,2.546666667,4.344
560,561,DSPC,1,1,6.12,0,8,36,0,12,100,60,500,227.0666667,2.25,4.419
561,562,DSPC,1,1,6.12,0,8,36,0,4,100,80,500,198.8,-5.656666667,4.431
562,563,DSPC,1,1,6.12,0,8,36,0,8,100,80,500,148.5333333,-0.2858,3.296
563,564,DSPC,1,1,6.12,0,8,36,0,12,100,80,500,134.8333333,3.186666667,3.091
564,565,DSPC,1,1,6.12,0,8,36,0,4,50,20,500,160.3666667,3.713333333,6.409
565,566,DSPC,1,1,6.12,0,8,36,0,8,50,20,500,394.7333333,-4.73,5.549
566,567,DSPC,1,1,6.12,0,8,36,0,12,50,20,500,294.7666667,-2.64,5.583
567,568,DSPC,1,1,6.12,0,8,36,0,4,50,40,500,174.7,1.836666667,5.159
568,569,DSPC,1,1,6.12,0,8,36,0,8,50,40,500,308.0666667,5.443333333,4.745
569,570,DSPC,1,1,6.12,0,8,36,0,12,50,40,500,458.9333333,-1.491333333,5.063
570,571,DSPC,1,1,6.12,0,8,36,0,4,50,60,500,191.4333333,-1.055666667,4.654
571,572,DSPC,1,1,6.12,0,8,36,0,8,50,60,500,201.9333333,4.203333333,4.111
572,573,DSPC,1,1,6.12,0,8,36,0,12,50,60,500,211.8333333,0.894,4.22
573,574,DSPC,1,1,6.12,0,8,36,0,4,50,80,500,190.4333333,-0.884,3.045
574,575,DSPC,1,1,6.12,0,8,36,0,8,50,80,500,190.6333333,-0.851,2.944
575,576,DSPC,1,1,6.12,0,8,36,0,12,50,80,500,128.8,2.053333333,2.079
576,577,DSPC,1,1,6.12,0,8,36,0,4,10,20,500,595.8333333,-15.63333333,6.673
577,578,DSPC,1,1,6.12,0,8,36,0,8,10,20,500,377.5666667,-3.236666667,6.612
578,579,DSPC,1,1,6.12,0,8,36,0,12,10,20,500,288.2333333,-2.386666667,5.841
579,580,DSPC,1,1,6.12,0,8,36,0,4,10,40,500,217.5333333,-1.123333333,6.148
580,581,DSPC,1,1,6.12,0,8,36,0,8,10,40,500,218.9666667,0.326666667,5.159
581,582,DSPC,1,1,6.12,0,8,36,0,12,10,40,500,316.5666667,6.206666667,5.293
582,583,DSPC,1,1,6.12,0,8,36,0,4,10,60,500,273.8,-2.076666667,4.754
583,584,DSPC,1,1,6.12,0,8,36,0,8,10,60,500,146.0,1.556666667,4.745
584,585,DSPC,1,1,6.12,0,8,36,0,12,10,60,500,181.1666667,-0.4172,4.787
585,586,DSPC,1,1,6.12,0,8,36,0,4,10,80,500,275.1,-2.526666667,4.7
586,587,DSPC,1,1,6.12,0,8,36,0,8,10,80,500,160.8666667,-0.499666667,3.296
587,588,DSPC,1,1,6.12,0,8,36,0,12,10,80,500,155.4,-0.839666667,3.989
588,589,DSPC,1,1,6.12,0,8,36,0,4,1,20,500,720.4,-2.03,7.304
590,591,DSPC,1,1,6.12,0,8,36,0,12,1,20,500,343.4,0.513666667,6.513
591,592,DSPC,1,1,6.12,0,8,36,0,4,1,40,500,221.6333333,0.588,6.244
592,593,DSPC,1,1,6.12,0,8,36,0,8,1,40,500,288.5,1.082333333,6.79
593,594,DSPC,1,1,6.12,0,8,36,0,12,1,40,500,253.8,1.406666667,6.915
594,595,DSPC,1,1,6.12,0,8,36,0,4,1,60,500,289.6666667,0.446333333,4.836
595,596,DSPC,1,1,6.12,0,8,36,0,8,1,60,500,132.6,5.146666667,5.553
596,597,DSPC,1,1,6.12,0,8,36,0,12,1,60,500,241.5333333,2.226666667,5.714
597,598,DSPC,1,1,6.12,0,8,36,0,4,1,80,500,269.8333333,-8.26,4.29
598,599,DSPC,1,1,6.12,0,8,36,0,8,1,80,500,210.1666667,-1.306,4.431
599,600,DSPC,1,1,6.12,0,8,36,0,12,1,80,500,200.7333333,1.663666667,4.852
600,601,DSPC,1,1,6.12,0,8,36,0,4,200,20,100,665.4,-4.956666667,5.787
601,602,DSPC,1,1,6.12,0,8,36,0,8,200,20,100,461.8666667,-3.503333333,4.913
602,603,DSPC,1,1,6.12,0,8,36,0,12,200,20,100,426.1,-2.953333333,4.718
603,604,DSPC,1,1,6.12,0,8,36,0,4,200,40,100,278.2,-3.166666667,4.745
604,605,DSPC,1,1,6.12,0,8,36,0,8,200,40,100,185.7333333,2.283333333,5.088
605,606,DSPC,1,1,6.12,0,8,36,0,12,200,40,100,244.9,2.306666667,4.875
606,607,DSPC,1,1,6.12,0,8,36,0,4,200,60,100,217.0666667,-1.85,4.331
607,608,DSPC,1,1,6.12,0,8,36,0,8,200,60,100,222.0666667,0.132760333,4.078
608,609,DSPC,1,1,6.12,0,8,36,0,12,200,60,100,187.0666667,-0.077333333,3.466
609,610,DSPC,1,1,6.12,0,8,36,0,4,200,80,100,186.3666667,-4.35,3.892
610,611,DSPC,1,1,6.12,0,8,36,0,8,200,80,100,208.6666667,-1.425333333,2.773
611,612,DSPC,1,1,6.12,0,8,36,0,12,200,80,100,200.6333333,-0.192333333,3.135
612,613,DSPC,1,1,6.12,0,8,36,0,4,100,20,100,411.7333333,-4.316666667,5.733
614,615,DSPC,1,1,6.12,0,8,36,0,12,100,20,100,219.3333333,2.13,4.543
615,616,DSPC,1,1,6.12,0,8,36,0,4,100,40,100,265.8666667,-2.493333333,4.779
616,617,DSPC,1,1,6.12,0,8,36,0,8,100,40,100,174.9,-0.763333333,4.86
617,618,DSPC,1,1,6.12,0,8,36,0,12,100,40,100,221.6,3.32,4.828
618,619,DSPC,1,1,6.12,0,8,36,0,4,100,60,100,180.1666667,0.096,4.736
619,620,DSPC,1,1,6.12,0,8,36,0,8,100,60,100,213.7666667,-1.543333333,4.19
620,621,DSPC,1,1,6.12,0,8,36,0,12,100,60,100,176.4333333,-0.458,4.111
621,622,DSPC,1,1,6.12,0,8,36,0,4,100,80,100,180.8666667,-3.533333333,4.585
622,623,DSPC,1,1,6.12,0,8,36,0,8,100,80,100,171.9333333,-2.693333333,3.401
623,624,DSPC,1,1,6.12,0,8,36,0,12,100,80,100,192.2,-1.073,3.332
626,627,DSPC,1,1,6.12,0,8,36,0,12,50,20,100,237.1333333,-0.988333333,4.673
627,628,DSPC,1,1,6.12,0,8,36,0,4,50,40,100,194.0333333,-0.591633333,5.561
628,629,DSPC,1,1,6.12,0,8,36,0,8,50,40,100,170.3,-1.048,5.159
629,630,DSPC,1,1,6.12,0,8,36,0,12,50,40,100,198.4,1.671666667,5.142
630,631,DSPC,1,1,6.12,0,8,36,0,4,50,60,100,174.6333333,0.497666667,5.318
631,632,DSPC,1,1,6.12,0,8,36,0,8,50,60,100,223.9666667,1.216666667,4.868
632,633,DSPC,1,1,6.12,0,8,36,0,12,50,60,100,202.3,-0.367833333,4.543
633,634,DSPC,1,1,6.12,0,8,36,0,4,50,80,100,233.2666667,-2.813333333,4.812
634,635,DSPC,1,1,6.12,0,8,36,0,8,50,80,100,167.0333333,0.119166667,4.234
635,636,DSPC,1,1,6.12,0,8,36,0,12,50,80,100,190.2333333,-1.521333333,3.526
637,638,DSPC,1,1,6.12,0,8,36,0,8,10,20,100,216.4,1.181,6.246
638,639,DSPC,1,1,6.12,0,8,36,0,12,10,20,100,314.3333333,-1.583333333,5.704
639,640,DSPC,1,1,6.12,0,8,36,0,4,10,40,100,207.4,-1.696666667,6.207
640,641,DSPC,1,1,6.12,0,8,36,0,8,10,40,100,180.6333333,1.110333333,4.654
641,642,DSPC,1,1,6.12,0,8,36,0,12,10,40,100,212.9666667,-0.2816,5.13
642,643,DSPC,1,1,6.12,0,8,36,0,4,10,60,100,253.3,-0.997666667,3.664
643,644,DSPC,1,1,6.12,0,8,36,0,8,10,60,100,170.7666667,1.956666667,4.654
644,645,DSPC,1,1,6.12,0,8,36,0,12,10,60,100,158.8333333,0.975666667,4.304
645,646,DSPC,1,1,6.12,0,8,36,0,4,10,80,100,188.7333333,-4.646666667,3.466
646,647,DSPC,1,1,6.12,0,8,36,0,8,10,80,100,206.5333333,-1.383,2.996
647,648,DSPC,1,1,6.12,0,8,36,0,12,10,80,100,182.9,0.969,2.996
652,653,DSPC,1,1,6.12,0,8,36,0,8,1,40,100,161.8333333,-0.225866667,7.532
653,654,DSPC,1,1,6.12,0,8,36,0,12,1,40,100,234.1666667,1.199666667,6.976
654,655,DSPC,1,1,6.12,0,8,36,0,4,1,60,100,227.1333333,1.106666667,7.727
655,656,DSPC,1,1,6.12,0,8,36,0,8,1,60,100,191.0333333,1.159666667,6.852
656,657,DSPC,1,1,6.12,0,8,36,0,12,1,60,100,173.0666667,0.740633333,6.902
657,658,DSPC,1,1,6.12,0,8,36,0,4,1,80,100,385.4666667,-5.563333333,3.0
658,659,DSPC,1,1,6.12,0,8,36,0,8,1,80,100,235.9666667,-1.49,4.454
659,660,DSPC,1,1,6.12,0,8,36,0,12,1,80,100,221.4,-0.068,5.303
663,664,DSPC,1,1,6.12,0,8,36,0,4,200,40,10,151.1,-8.67,2.833
665,666,DSPC,1,1,6.12,0,8,36,0,12,200,40,10,145.9333333,-1.295666667,2.773
666,667,DSPC,1,1,6.12,0,8,36,0,4,200,60,10,127.0666667,-0.760666667,3.871
667,668,DSPC,1,1,6.12,0,8,36,0,8,200,60,10,127.8,0.013,3.714
668,669,DSPC,1,1,6.12,0,8,36,0,12,200,60,10,82.80666667,-1.82,4.357
669,670,DSPC,1,1,6.12,0,8,36,0,4,200,80,10,104.6,-4.656666667,2.639
670,671,DSPC,1,1,6.12,0,8,36,0,8,200,80,10,101.8666667,-2.406666667,3.332
671,672,DSPC,1,1,6.12,0,8,36,0,12,200,80,10,92.93333333,-2.843333333,3.807
672,673,DSPC,1,1,6.12,0,8,36,0,4,100,20,10,100.2433333,-9.143333333,2.303
673,674,DSPC,1,1,6.12,0,8,36,0,8,100,20,10,142.6,-2.086666667,2.197
675,676,DSPC,1,1,6.12,0,8,36,0,4,100,40,10,156.8,-9.543333333,3.332
676,677,DSPC,1,1,6.12,0,8,36,0,8,100,40,10,122.3333333,-1.101,3.401
677,678,DSPC,1,1,6.12,0,8,36,0,12,100,40,10,146.9333333,-0.806,4.234
678,679,DSPC,1,1,6.12,0,8,36,0,4,100,60,10,119.6333333,-0.956333333,2.89
679,680,DSPC,1,1,6.12,0,8,36,0,8,100,60,10,138.6333333,-1.070666667,4.71
680,681,DSPC,1,1,6.12,0,8,36,0,12,100,60,10,92.68333333,-1.873333333,4.771
681,682,DSPC,1,1,6.12,0,8,36,0,4,100,80,10,107.7666667,-7.5,2.708
682,683,DSPC,1,1,6.12,0,8,36,0,8,100,80,10,96.23333333,-3.133333333,3.584
683,684,DSPC,1,1,6.12,0,8,36,0,12,100,80,10,112.1666667,-1.543333333,4.369
684,685,DSPC,1,1,6.12,0,8,36,0,4,50,20,10,131.9333333,-8.303333333,2.303
685,686,DSPC,1,1,6.12,0,8,36,0,8,50,20,10,130.2,-1.67,2.197
686,687,DSPC,1,1,6.12,0,8,36,0,12,50,20,10,611.0333333,-4.006666667,3.0
687,688,DSPC,1,1,6.12,0,8,36,0,4,50,40,10,149.6666667,-5.433333333,2.485
688,689,DSPC,1,1,6.12,0,8,36,0,8,50,40,10,133.9666667,-0.782666667,3.85
689,690,DSPC,1,1,6.12,0,8,36,0,12,50,40,10,138.3,-0.808,4.025
690,691,DSPC,1,1,6.12,0,8,36,0,4,50,60,10,134.9666667,-2.59,3.434
691,692,DSPC,1,1,6.12,0,8,36,0,8,50,60,10,140.6333333,-0.939333333,3.932
692,693,DSPC,1,1,6.12,0,8,36,0,12,50,60,10,97.09,-1.427333333,4.205
693,694,DSPC,1,1,6.12,0,8,36,0,4,50,80,10,104.5666667,-4.286666667,3.135
694,695,DSPC,1,1,6.12,0,8,36,0,8,50,80,10,110.4,-3.123333333,3.738
695,696,DSPC,1,1,6.12,0,8,36,0,12,50,80,10,95.28,-2.5,4.248
696,697,DSPC,1,1,6.12,0,8,36,0,4,10,20,10,115.9666667,-5.833333333,2.303
697,698,DSPC,1,1,6.12,0,8,36,0,8,10,20,10,130.5666667,-1.171666667,3.0
699,700,DSPC,1,1,6.12,0,8,36,0,4,10,40,10,129.2333333,-8.426666667,3.526
700,701,DSPC,1,1,6.12,0,8,36,0,8,10,40,10,121.4666667,-0.833,3.466
701,702,DSPC,1,1,6.12,0,8,36,0,12,10,40,10,169.4666667,-0.889,3.85
702,703,DSPC,1,1,6.12,0,8,36,0,4,10,60,10,134.3333333,-3.496666667,3.989
703,704,DSPC,1,1,6.12,0,8,36,0,8,10,60,10,114.1666667,-1.372,4.143
704,705,DSPC,1,1,6.12,0,8,36,0,12,10,60,10,92.96333333,-2.23,4.682
705,706,DSPC,1,1,6.12,0,8,36,0,4,10,80,10,118.9,-7.86,3.584
706,707,DSPC,1,1,6.12,0,8,36,0,8,10,80,10,94.82333333,-1.491,3.871
707,708,DSPC,1,1,6.12,0,8,36,0,12,10,80,10,95.42666667,-2.646666667,4.663
709,710,DSPC,1,1,6.12,0,8,36,0,8,1,20,10,156.3,-9.796666667,3.0
710,711,DSPC,1,1,6.12,0,8,36,0,12,1,20,10,139.8,-6.03,3.0
711,712,DSPC,1,1,6.12,0,8,36,0,4,1,40,10,144.2333333,-7.93,3.664
712,713,DSPC,1,1,6.12,0,8,36,0,8,1,40,10,131.1,-1.069666667,3.611
713,714,DSPC,1,1,6.12,0,8,36,0,12,1,40,10,150.6666667,-1.002,2.89
714,715,DSPC,1,1,6.12,0,8,36,0,4,1,60,10,151.8666667,-6.88,5.17
